timestamp,open,high,low,close,volume
2019-11-04,222.3700,222.4100,217.7050,218.0000,558755
2019-11-01,222.4500,223.8173,220.0780,220.5000,569117
2019-10-31,218.0400,222.4400,218.0400,220.6900,669654
2019-10-30,222.1900,222.1900,212.1300,218.2400,1124753
2019-10-29,217.3700,221.4200,217.0500,220.4000,1072387
2019-10-28,217.0000,217.9200,215.9500,216.2900,494620
2019-10-25,215.3400,217.3700,215.3400,216.0100,391746
2019-10-24,213.2000,216.1800,212.5300,215.5800,348835
2019-10-23,212.9200,213.5200,209.7500,211.9700,975493
2019-10-22,219.2100,219.6700,213.0300,213.2000,464192
2019-10-21,218.2700,219.4000,216.9550,219.2900,477074
2019-10-18,218.1400,218.7617,215.7700,217.3000,608902
2019-10-17,217.5000,219.1500,216.9050,218.7700,432124
2019-10-16,217.8800,217.8800,214.5100,217.1500,512070
2019-10-15,215.9300,219.1150,215.4550,218.6900,664580
2019-10-14,213.9400,215.9200,213.2000,214.4700,840331
2019-10-11,215.0000,216.2700,213.7650,214.1000,873016
2019-10-10,209.1900,212.7300,208.7600,211.0500,474503
2019-10-09,208.1000,210.6700,207.2400,209.6500,580242
2019-10-08,206.7900,208.8500,203.7400,205.7600,1087445
2019-10-07,204.8300,210.1150,204.8300,208.2100,1016689
2019-10-04,200.0800,203.6700,199.8300,203.5600,522320
2019-10-03,197.1700,200.0700,195.5700,199.5600,665783
2019-10-02,199.8500,200.8400,196.3300,196.8100,1340524
2019-10-01,205.4800,205.8900,201.3800,201.4900,1033524
2019-09-30,205.0000,207.9500,204.4800,204.8300,946912
2019-09-27,215.4400,215.7400,203.2100,205.8800,1727373
2019-09-26,213.8300,214.4300,211.7100,213.1800,702114
2019-09-25,210.8700,214.2800,210.3300,213.7300,737731
2019-09-24,216.1700,217.0000,210.4800,210.5800,1608263
2019-09-23,215.4800,215.4900,212.0450,215.3800,1199703
2019-09-20,217.6200,217.6200,213.6500,214.0800,1539179
2019-09-19,216.2500,218.0600,215.5800,216.5700,1140822
2019-09-18,218.9000,218.9000,213.2900,216.7600,1319763
2019-09-17,213.8200,218.5600,213.7500,218.1600,641790
2019-09-16,211.1900,213.3400,210.4000,213.3300,546799
2019-09-13,214.4700,214.4700,210.2700,212.2800,690380
2019-09-12,214.5900,215.5300,211.8500,212.9800,861835
2019-09-11,212.0000,213.4000,208.2800,213.0900,772581
2019-09-10,216.8900,216.8900,209.4200,211.4600,1142209
2019-09-09,221.5700,221.5700,215.9800,217.3700,727712
2019-09-06,219.6500,222.8500,219.0900,220.5400,510756
2019-09-05,216.5200,220.4990,215.1000,219.5800,853678
2019-09-04,214.0900,215.6550,211.8900,213.7000,806875
2019-09-03,213.9500,215.7300,210.8850,213.1400,812708
2019-08-30,218.2000,218.4000,214.3700,215.5800,654654
2019-08-29,217.0000,217.7000,215.2700,216.3600,611980
2019-08-28,212.5500,216.3400,212.2025,214.3600,595196
2019-08-27,213.4800,214.6000,212.7200,213.2700,735592
2019-08-26,212.0000,213.0900,210.3700,212.2600,422017
2019-08-23,216.0000,216.2400,209.1400,210.4000,946648
2019-08-22,219.8100,219.9800,216.2800,216.7700,893011
2019-08-21,218.4600,219.7380,218.2000,219.0400,512434
2019-08-20,216.9100,218.2100,215.4000,216.6400,515348
2019-08-19,215.9400,218.3100,215.9400,217.5300,526491
2019-08-16,212.5100,214.8600,210.8900,214.2900,594354
2019-08-15,207.3400,210.7600,206.2300,209.9500,454039
2019-08-14,210.1700,211.2400,205.0200,206.5100,843651
2019-08-13,212.4000,215.1800,211.5600,213.5000,638767
2019-08-12,212.7100,213.5600,210.3700,212.9300,419500
2019-08-09,213.8700,215.4100,211.7900,214.1300,524780
2019-08-08,210.4600,215.1150,210.0000,214.6500,546046
2019-08-07,201.8400,208.7150,201.0900,208.2500,599988

